Date,UserName,Comment,Like
2026-04-30T06:30:10Z,@ZaenUri-d4e,tidak akan pernah rededominasi keuangan indonesia jangan mimpi kalian semua rakyat indonesia,0
2026-04-27T09:17:38Z,@MiziMizi-g9j7p,Sok tahu orang baru kemaren.,0
2026-04-16T01:45:58Z,@best.k-s9r,Nol di hapus tapi penyebutan atau tulisan huruf yg menyatakan nominal uang jgn di hilangkan...contoh uang seribu...nolnya di hapus tapi tulisan seribu rupiah jgn di hapus😊.ini untuk menegaskan nilai rupiahnya...,0
2026-04-14T11:13:25Z,@Pakal6627,"Jgn terlalu takut dan bingung, semuanya insyaAllah baik2 aja. Semoga sukses",0
2026-04-14T09:57:14Z,@SudarManzyah,Dulu gagal di Hajar as setelah as Rusia putus hubungan<br> Indonesia lebih hancur lagi Indonesia di serang as dan Uni Soviet negara raksasa waktu itu<br>Dulu pro uni Soviet di hajar as setelah lepas dari komunis di hajar uni Soviet hancurlah negara miskin di hajar 2 gajah,0
2026-04-14T05:30:57Z,@RADENTSYARIFF,rakyat dukung redenominasi .,0
2026-04-14T03:33:15Z,@YAZIDTasrip,1965GAGAL DARI MANA? DARI HONGKONG?... OMONGAN ANAK BARU GEDE.. SOK TAU.,0
2026-04-03T18:22:44Z,@EnteBahlul-s9f,"Cara berfikir kita yang salah yang benar 17.000 itu sama dengan 17😅 datanya pada penyederhanaan nilai uang (redenominasi), bukan berarti nilainya berubah, tapi cuma “dipotong nolnya”.<br>Contoh biar lurus:<br>17.000 → jadi 17<br>1.000 → jadi 1<br>Tapi daya belinya tetap sama, cuma penulisannya aja yang disederhanakan.<br>Jadi konsepnya:<br>Sekarang: nasi goreng = 15.000<br>Setelah redenominasi: nasi goreng = 15<br>👉 Tapi nilainya tetap sama, bukan jadi lebih murah atau lebih mahal.<br>Yang perlu diluruskan sedikit<br>👉 “000 ribu itu salah” itu sistem angka yang kita pakai sekarang (inflasi sejarah bikin angka jadi besar).<br>👉 Di dunia nyata, beberapa negara sudah pernah lakukan ini, misalnya:<br>Turki (potong 6 nol)<br>Brasil (beberapa kali)<br>Kalau di Indonesia sendiri, wacana ini sering disebut:<br>👉 redenominasi rupiah (bukan sanering ya, beda jauh)<br>Perbedaan penting:<br>Redenominasi: cuma potong nol → nilai tetap,<br>Sanering: nilai uang benar-benar dipotong → rakyat bisa rugi<br>Jadi kesimpulannya: ✔ sistem sekarang salah=hasil perjalanan ekonomi<br>👉 Kenapa angka uang bisa jadi besar tapi nilai rendah (inflasi dari zaman dulu)<br>👉 Di indobesia apakah nol 000 itu masih suka atau tidak jawaban saya sebaiknya adalah redenominasi seperti 15 ringgit dan 1 ringgit",0
2026-03-31T16:05:22Z,@KuwatSantoso-c2u,Kalo kurang sosialisasi kacau negara ini..,0
2026-03-26T10:02:11Z,@keluargaqu2973,Nilai tukar mata uwang kita sudah hancur diam diam.,0
2026-03-14T22:30:37Z,@JuwarmanArman-q5v,Sekarang uang koruptor sudah mbludak..,0
2026-03-06T14:54:48Z,@AsrilAs-r3q,Dulu Indonesia negara berkembang kini negara maju<br>Jangan pikiran kuno <br>Ngomel tidak etis,0
2026-02-26T13:02:48Z,@arokmarabahaya5563,REDENOMINASI BUKAN UPAYA MENGATASI INFLASI 😅 TAPI UPAYA MENUTUPI INFLASI 🤣🤣🤣,0
