,full_text,username,created_at,clean_text,pred_label,confidence
0,Ahmad Doli Kurnia Respons Wacana Redenominasi Rupiah: Pemerintah Tinggal Ajukan DPR Akan Proses Wakil Ketua Badan Legislasi (Baleg) DPR RI dari Fraksi Partai Golkar Ahmad Doli Kurnia https://t.co/LXsd2zbyld #61TahunGolkar #golkarpedia #bahlillahadalia #ahmaddolikurnia https://t.co/MEBDQFwADT,,Sun Nov 23 23:11:40 +0000 2025,ahmad doli kurnia respons wacana redenominasi rupiah: pemerintah tinggal ajukan dpr akan proses wakil ketua badan legislasi (baleg) dpr ri dari fraksi partai golkar ahmad doli kurnia 61tahungolkar golkarpedia bahlillahadalia ahmaddolikurnia,netral,0.9819213151931763
1,@Kanseulir minimal simpan di LEDGER nano lah hari gini nyimpen di bank di brankas mereka itu cerdas tapi licik mengendapkan sosialisasi teknologi ke rakyat tapi mereka bergerak duluan duit mereka di staking j tiap detik duitnya bertambah btw.. redenominasi gw setuju,,Tue Sep 09 09:46:56 +0000 2025,minimal simpan di ledger nano lah hari begini menyimpan di bank di brankas mereka itu cerdas tapi licik mengendapkan sosialisasi teknologi ke rakyat tapi mereka bergerak duluan duit mereka di staking saja tiap detik duitnya bertambah btw.. redenominasi gue setuju,negatif,0.8941677808761597
2,@KemenperinRI Cukup Kan udah redenominasi,,Tue Nov 11 12:37:21 +0000 2025,cukup kan sudah redenominasi,netral,0.9725409150123596
3,Iyak redenominasi ntar harga ip 17 jadi Rp. 25.000,,Tue Nov 11 15:33:23 +0000 2025,iya redenominasi entar harga ip 17 jadi rp. 25.000,netral,0.9821377992630005
4,Wacana ini bukan barang baru. Sudah berkali-kali rencana serupa muncul tapi tak terealisasi. Ada sejumlah hal yang perlu dipertimbangkan. #Ekonomi #AdadiKompas https://t.co/2MY4FfeNnT,,Wed Nov 12 05:21:46 +0000 2025,wacana ini bukan barang baru. sudah berkali-kali rencana serupa muncul tapi tak terealisasi. ada sejumlah hal yang perlu dipertimbangkan. ekonomi adadikompas,negatif,0.9471156597137451
5,Purbaya soal Redenominasi Rupiah: Kebijakan Bank Sentral Diterapkan Sesuai Kebutuhan https://t.co/NRKJjikoWb,,Mon Nov 10 14:10:00 +0000 2025,purbaya soal redenominasi rupiah: kebijakan bank sentral diterapkan sesuai kebutuhan,netral,0.9799824953079224
6,Aku berharap waktu Redenominasi saldo rekeningku lupa diedit sama BCA,,Mon Nov 10 12:20:40 +0000 2025,aku berharap waktu redenominasi saldo rekeningku lupa diedit sama baca,netral,0.9775788187980652
7,@AbahBerry01 Akankah Redenominasi Rupiah segera diberlakukan oleh P'@prabowo @Gerindra (bos Prof.@bang_dasco P'@MuzaniGerindra @Fraksi_Gerindra om: @sjafriesjams @fadlizon @A_rizapatria &amp; @Dahnilanzar)?,,Wed Sep 10 02:42:24 +0000 2025,akankah redenominasi rupiah segera diberlakukan oleh p' (bos prof. p' om: &amp; )?,netral,0.964450478553772
8,WACANA PANAS! Pemerintah Kembali Bahas Redenominasi Rupiah Nol Rupiah Bakal Dihilangkan #RedenominasiRupiah #EkonomiNasional #BeritaEkonomi #PurbayaYudhiSadewa #Kemenkeu #IstanaNews #UangRupiah #ReformasiMoneter #BreakingNews #BeritaViral #FYPIndonesia #EkonomiIndonesia https://t.co/2xUPpNs443,,Mon Nov 10 11:56:22 +0000 2025,wacana panas! pemerintah kembali bahas redenominasi rupiah nol rupiah bakal dihilangkan redenominasirupiah ekonominasional beritaekonomi purbayayudhisadewa kemenkeu istananews uangrupiah reformasimoneter breakingnews beritaviral fypindonesia ekonomiindonesia,netral,0.9813527464866638
9,Redenominasi Rupiah Kembali Dibahas Dunia Usaha Tenang Pemerintah Tekankan Tahapan dan Koordinasi https://t.co/7GnTBRvnkF,,Wed Nov 12 03:32:24 +0000 2025,redenominasi rupiah kembali dibahas dunia usaha tenang pemerintah tekankan tahapan dan koordinasi,netral,0.9788550734519958
10,@yuppykenyyal Udah ikut program redenominasi cull?,,Thu Nov 13 00:48:40 +0000 2025,sudah ikut program redenominasi cull?,negatif,0.873745322227478
11,#ngalorngidul ngomongin redenominasi itu ranahnya om perry kalo bener kejadian keknya composite bakal naik vol transaksinya misal small caps saham 50. setick itu = 1 (2%) di redenom jadi 0.05 ya masa setick 1 juga tapi ga mgkn juga 0.001. mgkn bisa beli per 1 lembar ?,,Mon Nov 10 07:00:58 +0000 2025,ngalorngidul mengomongkan redenominasi itu ranahnya om perry kalo benar kejadian kayaknya composite bakal naik vol transaksinya misal small caps saham 50. setick itu = 1 (2%) di redenom jadi 0.05 ya masa setick 1 juga tapi enggak mungkin juga 0.001. mungkin bisa beli per 1 lembar ?,negatif,0.9514830708503723
12,@akhaanwar @benny_wiseguy @vespamatic96 Redenominasi mata uang adalah proses mengurangi nilai nominal uang dengan menghilangkan nol misalnya Rp 1.000 jadi Rp 1 baru. Ini berlaku secara lokal untuk kemudahan transaksi tapi nilai tukar global tetap sama karena daya beli asli tak berubah. Contoh: Jika 1 USD = Rp 15.000,,Thu Jan 15 16:27:01 +0000 2026,redenominasi mata uang adalah proses mengurangi nilai nominal uang dengan menghilangkan nol misalnya rp 1.000 jadi rp 1 baru. ini berlaku secara lokal untuk kemudahan transaksi tapi nilai tukar global tetap sama karena daya beli asli tak berubah. contoh: jika 1 usd = rp 15.000,positif,0.84110426902771
13,Belakangan banyak yang bertanya soal Redenominasi Sederhananya angka 000 akan dihilangkan sehingga Rp 1000 akan jadi Rp 1 Apa pengaruh Redenominasi terhadap pasar modal? Sebagai Manajer Investasi yang kira2 akan terjadi sebagai berikut https://t.co/eZZUTX1Cjn,,Wed Dec 10 18:13:15 +0000 2025,belakangan banyak yang bertanya soal redenominasi sederhananya angka 000 akan dihilangkan sehingga rp 1000 akan jadi rp 1 apa pengaruh redenominasi terhadap pasar modal? sebagai manajer investasi yang kira-kira akan terjadi sebagai berikut,netral,0.9567115902900696
14,3 Negara Ini Siap Redenominasi Mata Uang Nol Terlalu Banyak Jadi Masalah! https://t.co/anTMmIfStB https://t.co/PYuvqhOhfp,,Wed Nov 12 10:59:26 +0000 2025,3 negara ini siap redenominasi mata uang nol terlalu banyak jadi masalah!,negatif,0.8998202085494995
