id,teks,label_otomatis,label_manual,catatan
"0","biar lebih mudah di masyarakat kecil gambarnya di bikin sama tapi angkanya yang beda","negatif","positif",""
"1","mana ada program besar pemerintah pusat yang berhasil , yang berhasil hanya korupsi yang makin rekor diatas 1000 triliun","positif","negatif",""
"2","orang kayak begini yang harus nya masuk ke pemerintahan, bukan artis/seleb yang jago ekting","negatif","netral",""
"3","pasti inflasi","positif","negatif",""
"4","berani lah, di kira ini tahun 1965? sekarang media sudah banyak mengasih info redenominasi, inflasi kita cuma 2 persen 5 tahun terakhir<br>beda sama negara yang hyperinflasi tiba-tiba redenominasi ya gagal lah","negatif","positif",""
"5","1965 beda sama 2025 , sekarang mah orang rata rata pada pinter. titik","negatif","positif",""
"6","ketika panic proyek redominasi di setujui dan akan dilakukan, penimbun uang haram akan membelanjakan uangnya dengan membelajakan ke aset astet atau mengahambur hamburkan uang, ini pasti positif banget kan buat pengusaha,! walaupun di belanjakan ke luar negeri pun harus di tukar dulu ke uang mata asing,","positif","positif",""
"7","bung... ayo optimis.. <br>daripada banyak sekali nol.. nya rupiah ini... lucu. sepuluh tahun depan bisa bisa nol rupiah kita bisa berderet deret..","positif","positif",""
"8","sukses asalkan gambar sama warna nya jangan di rubah, ilangin nol nya saja","negatif","positif",""
"9","1965 tuh bukan redominasi tapi memang nilainya jadi inflasi total, harga barangnya naik hampir 1000x, kekayaan lu hilang total nilainya bahkan secara barter","negatif","negatif",""
"10","setuju harus redenomiasi","netral","positif",""
"11","seriously, yang jadi masalah besar investor shg enggak mau masuk ke indonesia adalah masalah korupsinya, bukan 000 itu. lebih baik beresin dulu semua korupsi itu dan perkuat perekonomian dalam negeri, buat banyak lapangan pekerjaan baru. jangan sibuk mengurusi image 000 dan berat2in anggaran negara","negatif","netral",""
"12","jangan tanggung2, redenominasi langsung potong 4 nol, 1 usd = 1,65 idr, 1 sgd = 1.2 idr, dan 1 idr = 3,5 myr keren enggak tuh?","negatif","negatif",""
"13","dulu yang 1965 itu sanering bukan redenominasi. sanering pemotongan nilai uang dari 1000 jadi 1. yang ini ngurangin 3 angka 0.","negatif","netral",""
"14","sanering dan redenominasi beda atuh ....<br><br>tahun 1965 itu kita sanering bukan redenominasi.. ...<br><br><br>yuk belajar lagi yuk......","netral","positif",""
"15","kalo itu memang lebih baik untuk kemajuan negara tercinta ya ayo tapi memang tidak baik dan banyak menimbulkan masalah mending janganlah pak menteri purbaya,kami masyarakat sedang terlanda masalah ekonomi, mending jangan yang aneh--aneh dulu, mening benerin ekonomi dulu kalo sudah membaik baru oklah di melakukan redenominasinya","negatif","negatif",""
"16","koruptor mungkin juga akan berpikir untuk segera menukar rupiahnya ke mata uang lain atau emas.","negatif","negatif",""
"17","-machzumial-2886 betul banget. pr nya tinggal pemerintah memikirkan bagaimana penyampaian informasi ini ke pedagang-pedagang seperti di pasar tradisional di daerah-daerah sebab rata-rata didominasi dengan pedagang yang sudah lanjut usia (berdasarkan pengalaman pribadi di daerah saya) dan jangan lupa di daerah-daerah terpencil seperti suku pedalaman dan masyarakat di perbatasan.","positif","positif",""
"18","syaratnya katanya bang bennix inflasi harus di bawah 10%, sedangkan indonesia sekarang inflasi di tingkat 2,6 %, mudah-mudahan berhasil agar semua uang2 korupsi yang di simpan di bawah tanah dan di bawah kolom tempat tidur pada keluar semua","positif","positif",""
"19","lah beda sekarang tahun 2025 bro. jangan disamain.","negatif","positif",""
"20","khusus pemerintah enggak usah sibuk menggantikan nominal huruf di uang yang lu harus urus bagaimana nih biar masyarakatnya bisa ngerubah semua ekonominya,percuma lu gonta ganti bagaimana uang kalau bahkan memegang uang 1000 pun dalam sehari sudah bersyukur banget kalau ada,yg di fikirin bagaimana buka lapangan kerja,tanpa melihat usia beda tetangga sebelah yang penting bisa kerja kerja enggak harus sekolah tinggi&quot; itupun sekolah tinggi&quot; nasib&quot; dapat pekerjaan memang beda dari lain ini negara,gmn enggak banyak masyarakat ngerantau buat keseharian saja di negara ini bikin pusing,","negatif","negatif",""
"21","ya dari bennix","negatif","netral",""
"22","bisa diterapkan dengan bertahap kok. tapi, yang saya cemaskan adalah oknum yang manfaatkan orang orang yang &quot;kurang&quot;. pemerintah mau enggak mau harus ngawal sampai tuntas.","negatif","positif",""
"23","contoh orang yang enggak paham ya begini komen nya","negatif","negatif",""
