full_text,username,created_at,clean_text,pred_label,confidence,label
Redenominasi Rupiah Dinilai Perlu tapi Harus Dijalankan Secara Konsisten https://t.co/5pXFjijK4O,,Mon Nov 17 02:23:31 +0000 2025,redenominasi rupiah dinilai perlu tapi harus dijalankan secara konsisten,netral,0.9711987972259521,2
Rencana tersebut masuk dalam Rencana Strategis (Renstra) Kementerian Keuangan 2025-2029 yang tertuang dalam PMK Nomor 70 Tahun 2025. #focus # https://t.co/d3mvKhBMGw,,Tue Nov 11 12:52:18 +0000 2025,rencana tersebut masuk dalam rencana strategis (renstra) kementerian keuangan 2025-2029 yang tertuang dalam pmk nomor 70 tahun 2025. focus,netral,0.9783611297607422,2
KuCoin Akan Mendukung Redenominasi Token Shardeum (SHM) Kunjungi pengumuman resmi di sini! #Pengumuman https://t.co/PUooEtT7MY,,Mon Oct 27 02:31:28 +0000 2025,kucoin akan mendukung redenominasi token shardeum (shm) kunjungi pengumuman resmi di sini! pengumuman,netral,0.8692650198936462,2
@tvOneNews Redenominasi menghilangkan 3 nol. Seakan tidak berpengaruh dengan nominal tapinsangat berpengaruh terhadap psikologi masyarakat. Dulu saat RI berdiri uang 50rb ndak ada baru ada di jaman Orba bila redenominasi berarti mempermulus jalan inflasi.,,Sun Nov 16 07:24:00 +0000 2025,redenominasi menghilangkan 3 nol. seakan tidak berpengaruh dengan nominal tapinsangat berpengaruh terhadap psikologi masyarakat. dulu saat ri berdiri uang 50rb indak ada baru ada di jaman orba bila redenominasi berarti mempermulus jalan inflasi.,negatif,0.9299520254135132,0
Ekonom Nilai Redenominasi Tak Mendesak Singgung Risiko Inflasi hingga Pengalihan Isu https://t.co/LPqjGlQsfQ @bank_indonesia @KemenkeuRI,,Tue Nov 25 08:53:30 +0000 2025,ekonom nilai redenominasi tak mendesak singgung risiko inflasi hingga pengalihan isu,netral,0.9769988656044006,2
@nhuubuaa Bayangin kalau nanti redenominasi... angka itu jadi apa? -000? Wkwkwk2k...,,Wed Nov 26 08:41:48 +0000 2025,bayangkan kalau nanti redenominasi... angka itu jadi apa? -000? wkwkwk2k...,negatif,0.9788479208946228,0
Ayolah dipercepat Redenominasi,,Thu Dec 18 01:09:50 +0000 2025,ayolah dipercepat redenominasi,netral,0.9727132320404053,2
2026 harga hp naik harga olive naik jadi redenominasi ga?,,Fri Dec 12 15:01:39 +0000 2025,2026 harga hp naik harga olive naik jadi redenominasi ga?,netral,0.9650713801383972,2
Redenominasi itu bukan cuma soal angka tapi juga soal integritas sistem keuangan. https://t.co/tFMVI2lJtS,,Fri Nov 21 06:31:06 +0000 2025,redenominasi itu bukan cuma soal angka tapi juga soal integritas sistem keuangan.,netral,0.906219482421875,2
Redenominasi rupiah ya. 10 th lalu kuliah bahas ini. Udah keluar PMKnya (Peraturan Menteri Keuangan),,Mon Nov 17 08:38:22 +0000 2025,redenominasi rupiah ya. 10 tahu lalu kuliah bahas ini. sudah keluar pmknya (peraturan menteri keuangan),netral,0.9662097692489624,2
